College,College Initials,Program,Credential_level,Measure,Totals,Blank,Not Available
Wor-Wic Community College,WWCC,CPAM Degree AAS (Degree) [No Data],Degree,retentionRate,0.05,Blank,
Wor-Wic Community College,WWCC,CPAM Degree AAS (Not Specified),Not Specified,retentionRate,1.00,Not Blank,
Wor-Wic Community College,WWCC,CPAM Degree AS (Degree),Degree,retentionRate,0.24,Not Blank,
Wor-Wic Community College,WWCC,CPAM Degree AS (Not Specified),Not Specified,retentionRate,0.22,Not Blank,
Wor-Wic Community College,WWCC,Non-CPAM Degree (Degree) [No Data],Degree,retentionRate,0.05,Blank,
Wor-Wic Community College,WWCC,Non-CPAM Degree (Not Specified) [No Data],Not Specified,retentionRate,0.05,Blank,
Wor-Wic Community College,WWCC,Not Specified (Degree) [No Data],Degree,retentionRate,0.05,Blank,
Wor-Wic Community College,WWCC,Not Specified,Not Specified,retentionRate,0.28,Not Blank,
Allegany Community College,ACC,CPAM Certificate >1y (Certificate >1y) [No Data],Certificate (more than one year),medianEarning,500,Blank,
Allegany Community College,ACC,CPAM Certificate >1y (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
Allegany Community College,ACC,CPAM Degree AAS (Degree) [No Data],Degree,medianEarning,500,Blank,
Allegany Community College,ACC,CPAM Degree AAS (Not Specified),Not Specified,medianEarning,29709,Not Blank,
Allegany Community College,ACC,CPAM Degree AS (Degree) [No Data],Degree,medianEarning,500,Blank,
Allegany Community College,ACC,CPAM Degree AS (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
Baltimore City Community College,BCCC,CPAM Non-credit Certificate (Certificate <1 y),Certificate (less than one year),medianEarning,32925,Not Blank,
Baltimore City Community College,BCCC,CPAM Non-credit Certificate (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
Carroll Community College,CCC,CPAM Certificate <1y (Certificate <1y) [No Data],Certificate (less than one year),medianEarning,500,Blank,
Carroll Community College,CCC,CPAM Certificate <1y (Didnt Apply for Credential),Didnt Apply for Credential,medianEarning,25523,Not Blank,
Carroll Community College,CCC,CPAM Certificate <1y (Not Specified) [No Data],Not Specified,medianEarning,500,Blank,
